Time (s),Sample Temperature (K),Weight (mg)
0,383.15,4.921
1,383.15,4.921
2,383.15,4.921
3,383.15,4.921
4,383.15,4.921
5,383.15,4.921
6,383.15,4.922
7,383.15,4.922
8,383.15,4.922
9,383.15,4.922
10,383.17,4.922
11,383.23,4.922
12,383.33,4.922
13,383.44,4.922
14,383.56,4.922
15,383.70,4.922
16,383.83,4.922
17,383.97,4.922
18,384.10,4.922
19,384.23,4.922
20,384.37,4.922
21,384.51,4.922
22,384.65,4.923
23,384.78,4.923
24,384.92,4.923
25,385.06,4.923
26,385.21,4.923
27,385.35,4.923
28,385.49,4.923
29,385.64,4.923
30,385.78,4.923
31,385.92,4.923
32,386.07,4.923
33,386.22,4.923
34,386.36,4.923
35,386.51,4.923
36,386.66,4.923
37,386.81,4.923
38,386.96,4.923
39,387.11,4.923
40,387.26,4.923
41,387.41,4.923
42,387.57,4.923
43,387.73,4.923
44,387.88,4.923
45,388.03,4.923
46,388.18,4.923
47,388.33,4.923
48,388.48,4.923
49,388.64,4.923
50,388.80,4.923
51,388.97,4.923
52,389.12,4.923
53,389.28,4.923
54,389.44,4.923
55,389.59,4.923
56,389.75,4.923
57,389.90,4.923
58,390.06,4.923
59,390.22,4.923
60,390.39,4.923
61,390.55,4.923
62,390.71,4.923
63,390.87,4.923
64,391.03,4.923
65,391.19,4.923
66,391.35,4.923
67,391.51,4.923
68,391.67,4.923
69,391.84,4.923
70,392.00,4.923
71,392.16,4.923
72,392.33,4.923
73,392.49,4.923
74,392.65,4.923
75,392.81,4.923
76,392.98,4.923
77,393.14,4.923
78,393.30,4.923
79,393.47,4.923
80,393.64,4.923
81,393.80,4.923
82,393.96,4.923
83,394.13,4.923
84,394.29,4.923
85,394.45,4.923
86,394.62,4.923
87,394.79,4.923
88,394.95,4.923
89,395.11,4.923
90,395.28,4.923
91,395.45,4.923
92,395.62,4.923
93,395.78,4.923
94,395.94,4.923
95,396.11,4.923
96,396.27,4.923
97,396.44,4.923
98,396.61,4.923
99,396.77,4.922
100,396.94,4.922
101,397.10,4.922
102,397.27,4.922
103,397.43,4.922
104,397.60,4.922
105,397.77,4.922
106,397.94,4.922
107,398.10,4.922
108,398.27,4.922
109,398.43,4.922
110,398.60,4.922
111,398.77,4.922
112,398.93,4.922
113,399.10,4.922
114,399.26,4.922
115,399.43,4.922
116,399.61,4.922
117,399.77,4.922
118,399.94,4.922
119,400.10,4.922
120,400.26,4.922
121,400.43,4.922
122,400.60,4.922
123,400.77,4.922
124,400.94,4.922
125,401.10,4.922
126,401.27,4.922
127,401.44,4.922
128,401.60,4.922
129,401.77,4.922
130,401.94,4.922
131,402.11,4.922
132,402.28,4.922
133,402.44,4.922
134,402.60,4.922
135,402.77,4.922
136,402.93,4.922
137,403.11,4.922
138,403.28,4.922
139,403.45,4.922
140,403.62,4.922
141,403.78,4.922
142,403.95,4.922
143,404.11,4.922
144,404.29,4.922
145,404.45,4.922
146,404.62,4.922
147,404.79,4.922
148,404.95,4.922
149,405.12,4.922
150,405.29,4.922
151,405.46,4.922
152,405.62,4.922
153,405.79,4.921
154,405.96,4.921
155,406.13,4.921
156,406.29,4.921
157,406.46,4.921
158,406.63,4.921
159,406.80,4.921
160,406.97,4.921
161,407.13,4.921
162,407.30,4.921
163,407.46,4.921
164,407.63,4.921
165,407.80,4.921
166,407.97,4.921
167,408.14,4.921
168,408.31,4.921
169,408.48,4.921
170,408.64,4.921
171,408.81,4.921
172,408.97,4.921
173,409.14,4.921
174,409.31,4.921
175,409.48,4.921
176,409.65,4.921
177,409.81,4.921
178,409.98,4.921
179,410.15,4.921
180,410.32,4.921
181,410.49,4.921
182,410.66,4.921
183,410.82,4.921
184,410.99,4.921
185,411.15,4.921
186,411.32,4.921
187,411.49,4.921
188,411.66,4.921
189,411.83,4.921
190,411.99,4.921
191,412.16,4.920
192,412.33,4.920
193,412.49,4.920
194,412.67,4.920
195,412.84,4.920
196,413.00,4.920
197,413.17,4.920
198,413.33,4.920
199,413.51,4.920
200,413.67,4.920
201,413.84,4.920
202,414.01,4.920
203,414.17,4.920
204,414.35,4.920
205,414.51,4.920
206,414.68,4.920
207,414.85,4.920
208,415.01,4.920
209,415.18,4.920
210,415.34,4.920
211,415.51,4.920
212,415.69,4.920
213,415.86,4.920
214,416.02,4.920
215,416.19,4.920
216,416.35,4.920
217,416.52,4.920
218,416.69,4.920
219,416.86,4.919
220,417.03,4.919
221,417.20,4.919
222,417.36,4.919
223,417.53,4.919
224,417.70,4.919
225,417.86,4.919
226,418.03,4.919
227,418.20,4.919
228,418.37,4.919
229,418.54,4.919
230,418.71,4.919
231,418.87,4.919
232,419.04,4.919
233,419.21,4.919
234,419.38,4.919
235,419.55,4.919
236,419.72,4.919
237,419.88,4.919
238,420.04,4.919
239,420.21,4.919
240,420.37,4.918
241,420.55,4.918
242,420.72,4.918
243,420.88,4.918
244,421.06,4.918
245,421.22,4.918
246,421.39,4.918
247,421.56,4.918
248,421.72,4.918
249,421.89,4.918
250,422.06,4.918
251,422.23,4.918
252,422.40,4.918
253,422.57,4.918
254,422.73,4.918
255,422.90,4.918
256,423.07,4.918
257,423.23,4.918
258,423.40,4.918
259,423.57,4.918
260,423.74,4.918
261,423.91,4.917
262,424.08,4.917
263,424.25,4.917
264,424.41,4.917
265,424.58,4.917
266,424.75,4.917
267,424.91,4.917
268,425.08,4.917
269,425.25,4.917
270,425.42,4.917
271,425.59,4.917
272,425.76,4.917
273,425.93,4.917
274,426.09,4.917
275,426.26,4.917
276,426.42,4.917
277,426.59,4.917
