Time (s),Temperature (K),Weight (mg)
0,383.15,5.006
1,383.15,5.006
2,383.15,5.006
3,383.15,5.006
4,383.15,5.006
5,383.15,5.006
6,383.15,5.006
7,383.15,5.006
8,383.15,5.006
9,383.16,5.006
10,383.18,5.007
11,383.26,5.007
12,383.36,5.007
13,383.46,5.007
14,383.59,5.007
15,383.74,5.007
16,383.86,5.007
17,383.99,5.007
18,384.13,5.007
19,384.27,5.007
20,384.40,5.007
21,384.54,5.007
22,384.68,5.007
23,384.82,5.008
24,384.96,5.008
25,385.10,5.008
26,385.24,5.008
27,385.38,5.008
28,385.53,5.008
29,385.66,5.008
30,385.81,5.008
31,385.95,5.008
32,386.10,5.008
33,386.26,5.008
34,386.40,5.008
35,386.55,5.008
36,386.70,5.008
37,386.84,5.008
38,386.99,5.008
39,387.15,5.008
40,387.30,5.008
41,387.45,5.008
42,387.60,5.008
43,387.76,5.008
44,387.91,5.008
45,388.06,5.008
46,388.22,5.008
47,388.37,5.008
48,388.53,5.008
49,388.69,5.008
50,388.84,5.008
51,389.00,5.008
52,389.15,5.008
53,389.31,5.008
54,389.47,5.008
55,389.63,5.008
56,389.79,5.008
57,389.94,5.008
58,390.11,5.008
59,390.27,5.008
60,390.43,5.008
61,390.59,5.008
62,390.75,5.008
63,390.91,5.008
64,391.07,5.008
65,391.22,5.008
66,391.39,5.008
67,391.55,5.008
68,391.72,5.008
69,391.88,5.008
70,392.04,5.008
71,392.20,5.008
72,392.36,5.008
73,392.52,5.008
74,392.69,5.008
75,392.85,5.008
76,393.02,5.008
77,393.18,5.008
78,393.35,5.008
79,393.51,5.008
80,393.67,5.007
81,393.84,5.007
82,394.01,5.007
83,394.17,5.007
84,394.34,5.007
85,394.50,5.007
86,394.66,5.007
87,394.82,5.007
88,394.99,5.007
89,395.16,5.007
90,395.32,5.007
91,395.49,5.007
92,395.65,5.007
93,395.82,5.007
94,395.99,5.007
95,396.15,5.007
96,396.31,5.007
97,396.48,5.007
98,396.65,5.007
99,396.81,5.007
100,396.98,5.007
101,397.15,5.007
102,397.31,5.007
103,397.48,5.007
104,397.65,5.007
105,397.81,5.007
106,397.98,5.007
107,398.15,5.007
108,398.31,5.007
109,398.47,5.007
110,398.64,5.007
111,398.81,5.007
112,398.98,5.007
113,399.15,5.007
114,399.31,5.007
115,399.48,5.007
116,399.64,5.007
117,399.81,5.007
118,399.98,5.007
119,400.15,5.007
120,400.31,5.007
121,400.48,5.007
122,400.65,5.007
123,400.81,5.007
124,400.98,5.007
125,401.14,5.007
126,401.31,5.007
127,401.48,5.007
128,401.65,5.007
129,401.82,5.007
130,401.98,5.007
131,402.15,5.007
132,402.32,5.007
133,402.48,5.007
134,402.65,5.007
135,402.82,5.007
136,402.99,5.007
137,403.16,5.007
138,403.31,5.007
139,403.48,5.007
140,403.65,5.007
141,403.82,5.007
142,403.99,5.007
143,404.16,5.006
144,404.33,5.006
145,404.50,5.006
146,404.66,5.006
147,404.83,5.006
148,404.99,5.006
149,405.15,5.006
150,405.33,5.006
151,405.50,5.006
152,405.67,5.006
153,405.83,5.006
154,405.99,5.006
155,406.16,5.006
156,406.33,5.006
157,406.50,5.006
158,406.67,5.006
159,406.84,5.006
160,407.01,5.006
161,407.17,5.006
162,407.34,5.006
163,407.51,5.006
164,407.68,5.006
165,407.84,5.006
166,408.01,5.006
167,408.18,5.006
168,408.34,5.006
169,408.51,5.006
170,408.68,5.006
171,408.85,5.006
172,409.02,5.006
173,409.19,5.006
174,409.36,5.006
175,409.52,5.006
176,409.69,5.006
177,409.85,5.006
178,410.02,5.006
179,410.19,5.006
180,410.36,5.006
181,410.53,5.006
182,410.70,5.006
183,410.86,5.005
184,411.03,5.005
185,411.20,5.005
186,411.37,5.005
187,411.53,5.005
188,411.70,5.005
189,411.86,5.005
190,412.03,5.005
191,412.20,5.005
192,412.38,5.005
193,412.55,5.005
194,412.71,5.005
195,412.87,5.005
196,413.03,5.005
197,413.20,5.005
198,413.37,5.005
199,413.54,5.005
200,413.72,5.005
201,413.89,5.005
202,414.05,5.005
203,414.21,5.005
204,414.38,5.005
205,414.55,5.005
206,414.72,5.005
207,414.89,5.005
208,415.05,5.005
209,415.22,5.005
210,415.39,5.005
211,415.56,5.004
212,415.72,5.004
213,415.89,5.004
214,416.06,5.004
215,416.23,5.004
216,416.40,5.004
217,416.57,5.004
218,416.74,5.004
219,416.90,5.004
220,417.06,5.004
221,417.23,5.004
222,417.40,5.004
223,417.57,5.004
224,417.74,5.004
225,417.91,5.004
226,418.08,5.004
227,418.25,5.004
228,418.41,5.004
229,418.57,5.004
230,418.74,5.004
231,418.92,5.004
232,419.09,5.004
233,419.25,5.004
234,419.42,5.003
235,419.58,5.003
236,419.75,5.003
237,419.92,5.003
238,420.10,5.003
239,420.27,5.003
240,420.43,5.003
241,420.59,5.003
242,420.76,5.003
243,420.93,5.003
244,421.09,5.003
245,421.26,5.003
246,421.43,5.003
247,421.60,5.003
248,421.77,5.003
249,421.93,5.003
250,422.10,5.003
251,422.27,5.003
252,422.43,5.003
253,422.60,5.002
254,422.77,5.002
255,422.94,5.002
256,423.11,5.002
257,423.28,5.002
258,423.45,5.002
259,423.61,5.002
260,423.78,5.002
261,423.95,5.002
262,424.12,5.002
263,424.28,5.002
264,424.45,5.002
265,424.62,5.002
266,424.79,5.002
267,424.96,5.002
268,425.12,5.002
269,425.29,5.001
270,425.46,5.001
271,425.63,5.001
272,425.80,5.001
273,425.96,5.001
274,426.13,5.001
275,426.30,5.001
276,426.47,5.001
277,426.63,5.001
278,426.81,5.001
279,426.97,5.001
280,427.14,5.001
281,427.31,5.001
282,427.47,5.001
283,427.64,5.001
284,427.80,5.000
285,427.98,5.000
286,428.15,5.000
287,428.31,5.000
288,428.47,5.000
289,428.64,5.000
290,428.81,5.000
291,428.98,5.000
292,429.15,5.000
293,429.31,5.000
294,429.48,5.000
295,429.65,5.000
296,429.82,5.000
297,429.99,4.999
298,430.15,4.999
299,430.31,4.999
300,430.49,4.999
301,430.65,4.999
302,430.82,4.999
303,430.98,4.999
304,431.16,4.999
305,431.32,4.999
306,431.49,4.999
307,431.66,4.999
308,431.82,4.999
309,431.99,4.998
310,432.16,4.998
311,432.32,4.998
312,432.49,4.998
313,432.66,4.998
314,432.83,4.998
315,432.99,4.998
316,433.16,4.998
317,433.33,4.998
318,433.50,4.998
319,433.67,4.998
320,433.83,4.997
321,434.00,4.997
322,434.16,4.997
323,434.33,4.997
324,434.50,4.997
325,434.67,4.997
326,434.84,4.997
327,435.01,4.997
328,435.17,4.997
329,435.34,4.997
330,435.50,4.997
331,435.67,4.996
332,435.84,4.996
